question,source,category,problem_id,correct_answer,incorrect_answer,unique_id
What is intuitive decision making based on?,mmlu,management,,Instinct,Guesswork,69
What is another name for contingency planning?,mmlu,management,,Scenario planning,Synergy planning,70
The Hawthorn Studies are most associated with which writer?,mmlu,management,,Elton Mayo,Frederick Taylor,71
Which of the following diseases is not caused by togaviruses?,mmlu,virology,,Yellow Fever,Western Equine encephalitis,72
PreP is an effective strategy for reducing the incidence of HIV in:,mmlu,virology,,Drug users,Women,73
“Contingency management” is”:,mmlu,virology,,Paying drug users for negative urine specimens,Paying drug users to use condoms,74
The characteristic of a generalized epidemic is:,mmlu,virology,,High rates in pregnant women,High rate in STD clinic attendees,75
"Any systematic error in the design, conduct, or analysis of a study that results in a mistaken estimate of an exposure’s effect on the risk of disease is called:",mmlu,virology,,Interaction,Stratification,76
How is the parvovirus family targeted to reduce disease?,mmlu,virology,,Transfusion blood is screened,Social distancing,77
Which of the following HPV viruses are known to cause cervical cancer?,mmlu,virology,,None are oncogenic per se,"Types 14, 16, 18, 31, 45",78
How can the spread of filoviruses be restricted?,mmlu,virology,,Hygiene and social distancing,New humanised monoclonal antibodies,79
Genetic characteristics of the bunyavirus family include which one of the following?,mmlu,virology,,Three segmented negative stranded RNA viruses with anti-sense expression,Highly mutable RNA viruses,80
Which virus infection was not first identified by clinical observation?,mmlu,virology,,Hepatitis C,Rubella teratogenicity,81
Which viruses appear to be hypermutable?,mmlu,virology,,RNA viruses,DNA viruses,82
What is urban yellow fever (YF)?,mmlu,virology,,Part of a cycle of mosquitoes biting humans in cities,A mutant of the YF virus,83
"""Is there anything you would be willing to die for?"" is a philosophical question insofar as:",mmlu,philosophy,,it forces us to articulate and justify our beliefs about what we know and ought to do.,it is more concerned with one's religious beliefs than with factual claims about the world.,84
Mill claims that one of the strongest objections to utilitarianism is drawn from the idea of:,mmlu,philosophy,,justice.,virtue.,85
"According to Epicurus, the wise man:",mmlu,philosophy,,is unconcerned with death.,yearns for the end of life.,86
Bentham defines the fecundity of a pleasure or pain as:,mmlu,philosophy,,its chance of being followed by sensations of the same kind.,its chance of occurring.,87
"According to Paley, we must conclude that a watch had an intelligent designer if the watch _____.",mmlu,philosophy,,shows purposefulness,is engraved,88
Aquinas argues that the end of every action is:,mmlu,philosophy,,some good.,some emotional state.,89
Wolf argues that the unattractiveness of the moral saint:,mmlu,philosophy,,neither a nor b.,both a and b.,90
"According to Locke, the chief end of men's uniting into a commonwealth is _____.",mmlu,philosophy,,the preservation of their property,domination over other commonwealths,91
The famous statement “An unexamined life is not worth living” is attributed to _____.,mmlu,philosophy,,Socrates,Aristotle,92
"According to Craig, the kalam cosmological argument establishes that _____.",mmlu,philosophy,,the universe has a cause,the Big Bang model is false,93
"In Augustine’s view, lying is:",mmlu,philosophy,,never permissible.,"not evil in itself, although it can have bad consequences.",94
Singer claims that his argument upsets the traditional distinction between:,mmlu,philosophy,,duty and charity.,egoism and altruism.,95
"How is iron transported in the circulation from the intestine to the sites of metabolism in the body?
",mmlu,nutrition,,Bound to transferrin,Bound to ferritin,96
"What role do women play in food security?
",mmlu,nutrition,,"They play a central role as producers of food, managers of natural resources, income earners and caretakers of household nutrition.","They weed the fields, but never plough or plant them, as only men are strong enough for those activities.",97
"Supplementation with long-chain fatty acids EPA and DHA during pregnancy and infancy will likely benefit the following:
",mmlu,nutrition,,Visual performance,Behaviour disorders,98
"Which of the following statements about protein structure is correct?
",mmlu,nutrition,,Cross-links between the &epsiv;-amino group of lysine and the carboxyl group of glutamate render the amino acid(s) unavailable for digestion.,All proteins have the same secondary structure,99
"Which body composition method would you use to measure body mineral content?
",mmlu,nutrition,,Dual-energy X-ray absorptiometry,Magnetic Resonance Imaging,100
"Which of the following foods do not contain free sugars
",mmlu,nutrition,,Cows' milk,Honey,101
"Eosinophilic oesophagitis
",mmlu,nutrition,,May cause oesopgageal obstruction,Leads to oesophageal diverticular,102
"The best evidence exists for which nutrients in the prevention of age related cognitive decline?
",mmlu,nutrition,,N-3 fatty acids,N-6 fatty acids,103
"In a healthy person maintaining energy balance in equilibrium (i.e. mathematical equality of energy intake and energy expenditure) is generally achieved on a:
",mmlu,nutrition,,1-2 week basis,day-to-day basis,104
"Which of the following statements about protein synthesis is correct?
",mmlu,nutrition,,The RNA formed by transcription of DNA undergoes splicing and further modifications to form mRNA.,Both strands of DNA are transcribed to form mRNA.,105
"Molecules of natural polyunsaturated fatty acids in vegetable oils contain:
",mmlu,nutrition,,18 carbon atoms with at least two carbon-carbon double bonds in the cis configuration,20 carbon atoms with at least two carbon-carbon double bonds in the cis configuration,106
"Crohn's disease:
",mmlu,nutrition,,May lead to intestinal obstruction,Always affects the colon,107
The cardiac cycle consists of the phases:,mmlu,clinical_knowledge,,diastole and systole.,"systole, diastole, and rest.",108
Which of the following statements is false?,mmlu,clinical_knowledge,,Muscle lactate accumulation does not begin until at least 5 seconds of intermittent muscle contractions have taken place.,With an increasing number of repeated sprints the rate of accumulation of lactate in muscle declines.,109
Which of the following is not a controlled drug?,mmlu,clinical_knowledge,,A 500 ml bottle of Morphine 10 mg in 5 ml in oral suspension.,A sustained release Morphine tablet.,110
Women's world record performances have improved rapidly in recent years mainly because:,mmlu,clinical_knowledge,,more women are now engaged in sport.,women have started training at an earlier age.,111
An allele that is masked is referred to as:,mmlu,clinical_knowledge,,recessive.,reclusive.,112
"During CPR, chest compressions should be delivered at a rate of:",mmlu,clinical_knowledge,,100/minute.,as fast as possible.,113
The smallest increments on a mercury and aneroid sphygmomanometer measure are:,mmlu,clinical_knowledge,,2 mmHg.,1 mmHg.,114
Which of the following is true about Cushing's Syndrome?,mmlu,clinical_knowledge,,A moon face and a buffalo hump are characteristic of the disease,Enlarged extremities are commonly seen,115
"Who has legal responsibility for a patient's care during hospital admission, stay, and discharge?",mmlu,clinical_knowledge,,The named consultant.,The ward manager.,116
Which of the following is true about a thyroid swelling?,mmlu,clinical_knowledge,,A functioning nodule on isotope scanning is unlikely to be due to cancer,An ultrasound of the swelling is the best test to determine whether the nodule is actively secreting hormone,117
Which one of the following represents a IIIrd cranial nerve palsy and is a neurosurgical emergency?,mmlu,clinical_knowledge,,Unilateral fixed dilated pupil.,Bilateral constricted pupils.,118
Performance enhancing synthetic steroids are based on the structure of the hormone:,mmlu,clinical_knowledge,,testosterone.,progesterone.,119
"A random sample of 25 men and a separate random sample of 25 women are selected to answer questions about attitudes toward abortion. The answers were categorized as ""pro-life"" or ""pro-choice."" Which of the following is the proper null hypothesis for this situation?",mmlu,high_school_statistics,,"The proportion of ""pro-life"" men is the same as the proportion of ""pro-life"" women.","The variables ""gender"" and ""attitude toward abortion"" are related.",120
"A company has a choice of three investment schemes. Option I gives a sure $25,000 return on investment. Option II gives a 50% chance of returning $50,000 and a 50% chance of returning $10,000. Option III gives a 5% chance of returning $100,000 and a 95% chance of returning nothing. Which option should the company choose?",mmlu,high_school_statistics,,All of the above answers are correct.,Option II if it wants to maximize expected return,121
"Researchers are conducting an experiment using a significance level of 0.05. The null hypothesis is, in fact, false. If they modify their experiment to use twice as many experimental units for each treatment, which of the following would be true?",mmlu,high_school_statistics,,The probability of a Type I error would stay the same and the power would increase.,The probability of a Type I error and the power would both increase.,122
"A talk show host recently reported that in response to his on-air question, 82% of the more than 2500 e-mail messages received through his publicized address supported the death penalty for anyone convicted of selling drugs to children. What does this show?",mmlu,high_school_statistics,,The survey is meaningless because of voluntary response bias.,No meaningful conclusion is possible without knowing something more about the characteristics of his listeners.,123
Which of the following is not important in the design of experiments?,mmlu,high_school_statistics,,Use of a confounding variable to control the placebo effect,Randomization in assigning subjects to different treatments,124
"Both over-the-counter niacin and the prescription drug Lipitor are known to lower blood cholesterol levels. In one double-blind study Lipitor outperformed niacin. The 95% confidence interval estimate of the difference in mean cholesterol level lowering was (18, 41). Which of the following is a reasonable conclusion?",mmlu,high_school_statistics,,None of the above.,There is a 0.95 probability that Lipitor will outperform niacin in lowering the cholesterol level of any given individual.,125
"Students in AP Statistics class were timed in seconds while solving a series of mathematical brainteasers. One student's time had a standardized score of z = 2.40. If the times are all changed to minutes, what will then be the student's standardized score?",mmlu,high_school_statistics,,z = 2.40,z = 0.04,126
"Which of the following describe/s the central limit theorem? I. The mean of the sampling distribution of x-is the same as the mean of the population. II. The standard deviation of the sampling distribution of x-is the same as the standard deviation of x- divided by the square root of the sample size. III. If the sample size is large, the shape of the sampling distribution of x- is approximately normal.",mmlu,high_school_statistics,,III only,I only,127
"In the casino game of roulette, there are 38 slots for a ball to drop into when it is rolled around the rim of a revolving wheel: 18 red, 18 black, and 2 green. What is the probability that the first time a ball drops into the red slot is on the 8th trial (in other words, suppose you are betting on red every time-what is the probability of losing 7 straight times before you win the first time)?",mmlu,high_school_statistics,,0.0053,0.0101,128
Which of the following is a false statement about simple random samples?,mmlu,high_school_statistics,,A sample must be reasonably large to be properly considered a simple random sample.,Every element of the population has an equal chance of being picked.,129
A major polling organization wants to predict the outcome of an upcoming national election (in terms of the proportion of voters who will vote for each candidate). They intend to use a 95% confidence interval with margin of error of no more than 2.5%. What is the minimum sample size needed to accomplish this goal?,mmlu,high_school_statistics,,1537,1536,130
Which of the following is a true statement?,mmlu,high_school_statistics,,Controlled experiments are often undertaken later to establish cause-and-effect relationships first suggested by observational studies.,"While properly designed experiments can strongly suggest cause-and-effect relationships, a complete census is the only way of establishing such a relationship.",131
"Let f(x) be a function whose graph passes through the origin. If f(2n) = n^2 + f[2(n - 1)] for every integer n, what is the value of f(8)?",mmlu,college_mathematics,,30,32,132
Sofia and Tess will each randomly choose one of the 10 integers from 1 to 10. What is the probability that neither integer chosen will be the square of the other?,mmlu,college_mathematics,,0.95,0.72,133
The shortest distance from the curve xy = 8 to the origin is,mmlu,college_mathematics,,4,2sqrt(2),134
(1+i)^10 =,mmlu,college_mathematics,,32i,32,135
"Let C be the circle in the yz-plane whose equation is (y - 3)^2 + z^2 = 1. If C is revolved around the z-axis, the surface generated is a torus. What is the equation of this torus?",mmlu,college_mathematics,,(x^2 + y^2 + z^2 + 8)^2 = 36(x^2 + y^2),x^2 + y^2 + z^2 + 8 = 6y,136
"In xyz-space, what are the coordinates of the point on the plane 2x + y + 3z = 3 that is closest to the origin?",mmlu,college_mathematics,,"(3/7, 3/14, 9/14)","(7/15, 8/15, 1/15)",137
"Let f(x,y) = x^2 - 2xy + y^3 for all real x and y. Which of the following is true?",mmlu,college_mathematics,,f has all of its relative extrema on the line x = y.,f has all of its relative extrema on the parabola x = y^2.,138
"Let F be a constant unit force that is parallel to the vector (-1, 0, 1) in xyz-space. What is the work done by F on a particle that moves along the path given by (t, t^2, t^3) between time t=0 and time t=1?",mmlu,college_mathematics,,0,sqrt(2),139
"A large class is to be divided into teams and each student must be a member of exactly one team. However, each student dislikes three of their classmates. Dislike between students need not be mutual. If the teams do not need to be equally sized, how many must be created so that no student is the teammate of someone they dislike?",mmlu,college_mathematics,,7,10,140
Let M be a 5 x 5 real matrix. Exactly four of the following five conditions on M are equivalent to each other. Which of the five conditions is equivalent to NONE of the other four?,mmlu,college_mathematics,,"For any two distinct column vectors u and v of M, the set {u, v} is linearly independent.",The homogeneous system Mx = 0 has only the trivial solution.,141
Suppose today is Wednesday. What day of the week will it be 10^(10^(10)) days from now?,mmlu,college_mathematics,,Sunday,Wednesday,142
"Suppose X is a discrete random variable on the set of positive integers such that for each positive integer n, the probability that X = n is 1/2^n. If Y is a random variable with the same probability distribution and X and Y are independent, what is the probability that the value of at least one of the variables X and Y is greater than 3 ?",mmlu,college_mathematics,,15/64,1/64,143
All of the following statements concerning the likelihood that a person will vote are true EXCEPT:,mmlu,high_school_government_and_politics,,There is no difference in the likelihood of voting among those with undergraduate degrees and those with postgraduate degrees.,Voters who are registered as independent are less likely to vote than those who are registered Democrats or Republicans.,144
"Which of the following statements is LEAST true of voters in federal, state, and local elections?",mmlu,high_school_government_and_politics,,Individuals are more likely to vote when they believe they know which candidate will win an election.,Voters lacking party affiliation tend to vote less regularly than those with strong party affiliation.,145
The amount of access cabinet secretaries have to the president is most likely to be controlled by the,mmlu,high_school_government_and_politics,,president's chief of staff,chair of the Federal Reserve Board,146
The Civil Rights Act of 1964 was passed to reinforce the,mmlu,high_school_government_and_politics,,Fourteenth Amendment,presidential veto,147
"Which of the following is an example of ""horse-race journalism""?",mmlu,high_school_government_and_politics,,A reporter announces which candidate leads in a public opinion poll.,A news story focuses on a politician's scandals rather than achievements.,148
Which of the following statements about the electoral college is correct?,mmlu,high_school_government_and_politics,,"The results of electoral college voting tend to distort the winner's margin of victory, when compared with the popular vote for president.",The electoral college was created by an amendment to the Constitution.,149
The relative stability of American public policy is achieved largely through,mmlu,high_school_government_and_politics,,the constitutional fragmentation of power,judicial activism,150
Which of the following generally results when the Senate and House of Representatives pass different versions of the same bill?,mmlu,high_school_government_and_politics,,The two legislative bodies form a conference committee.,"All amendments to the bill are invalidated, and the original version of the bill is sent to the president to sign.",151
The absence of a political party solely dedicated to labor and working class issues in the United States,mmlu,high_school_government_and_politics,,"reflects the difficulty of unifying a party around a single issue in a ""winner-take-all"" format",is the result of government restrictions placed on the political activities of labor unions,152
"The president executes a ""pocket veto"" by doing which of the following?",mmlu,high_school_government_and_politics,,Failing to sign a bill after Congress has adjourned,Issuing an executive order invalidating a recently passed bill,153
Which of the following is an example of devolution?,mmlu,high_school_government_and_politics,,Allowing states to decide how to meet federally mandated greenhouse gas emissions targets,A state that legalizes marijuana possession in conflict with federal law,154
Which of the following most accurately describes The Federalist Papers?,mmlu,high_school_government_and_politics,,A collection of essays arguing the merits of the Constitution,"The Federalist party platform during the presidency of John Adams, the first Federalist president",155
Which of the following is correct about the demand for labor?,mmlu,high_school_microeconomics,,The demand for labor is derived from the demand for the products produced by labor.,The demand for labor is independent of the availability of other inputs or resources.,156
"If the wage paid to all units of labor is $4.50, how many units of labor are hired?",mmlu,high_school_microeconomics,,2,1,157
Which of the following illustrates the demand curve facing an oligopolist when rival firms follow a price decrease but not a price increase?,mmlu,high_school_microeconomics,,A demand curve consisting of two discontinuous segments.,Highly elastic demand curve.,158
An effective price ceiling in the market for good X likely results in,mmlu,high_school_microeconomics,,a persistent shortage of good X.,"a decrease in the demand for good Z, a complement with good X.",159
Suppose a price floor is installed in the market for coffee. One result of this policy would be,mmlu,high_school_microeconomics,,a decrease in the demand for coffee-brewing machines.,an increase in consumer surplus due to lower coffee prices.,160
Which of the following is not a characteristic of a kinked demand curve?,mmlu,high_school_microeconomics,,P < MC.,A range of marginal costs over which MR = MC.,161
"The market for denim jeans is in equilibrium, and the price of polyester pants, a substitute good, rises. In the jean market",mmlu,high_school_microeconomics,,"demand rises, increasing the price and increasing the quantity.","supply falls, increasing the price and increasing the quantity.",162
You are told that the income elasticity for DVDs is + 1.5. This means that,mmlu,high_school_microeconomics,,a 10 percent increase in income produces a 15 percent increase in consumption of DVDs. DVDs are a normal luxury good.,a 10 percent increase in income produces a 15 percent decrease in consumption of DVDs. DVDs are an inferior good.,163
Economics is best described as,mmlu,high_school_microeconomics,,the study of how decision makers choose the best way to satisfy their unlimited material wants with a scarce supply of resources.,the study of how scarce labor can be replaced by unlimited capital.,164
Which of the following statements is correct?,mmlu,high_school_microeconomics,,Economic Costs = Explicit Costs plus Implicit Costs.,Economic Costs = Explicit Costs minus Implicit Costs.,165
Which of the following goods is likely to have the most elastic demand curve?,mmlu,high_school_microeconomics,,Demand for white Ford minivans,Demand for American-made automobiles,166
Which of the following is true?,mmlu,high_school_microeconomics,,Marginal Social Costs = Private Marginal Costs + Negative Externality.,Tax = Positive Externality.,167
"According to George and Simons, what factors influence the outcomes of an act of coercive diplomacy?",mmlu,security_studies,,"All of these options. George and Simons distinguish between contextual variables and conditions favouring success, and the idea that they should be used by decisionmakers at different stages in the policymaking process.",Global strategic environment; type of provocation; image of war.,168
In what ways does gender shape the conceptualization of nationhood and conflict?,mmlu,security_studies,,"Although often missing from the traditional literature on war and security, women frequently serve the purposes of nationalise causes, with nationalism often presented in highly gendered and female terms, where women are symbols of statehood.","A sense of national identity can be developed through a variety of shared experiences, including war. The glorification of iconic national figures such as political leaders is not noticeably gendered and men and women generally perform the same types of roles within the public realm.",169
Which of the following is not one of the 10 steps of the Washington Consensus?,mmlu,security_studies,,Nationalization: state enterprises should be protected.,Fiscal Discipline: budget deficits of no more than 2 per cent of gross domestic product (GDP).,170
Which of these statements is not accurately applied to Critical Security Studies?,mmlu,security_studies,,The referent object can be objectively studied and should be considered accordingly.,Critical Security Studies is a post-positivist approach.,171
Which of the following defines a Revolution in Military Affairs?,mmlu,security_studies,,A watershed in technological advancement which alters the fundamental characteristics of war.,A coup in which established leaders are ousted by an internal military force.,172
What long-term trends can be foreseen in the concept of environmental security?,mmlu,security_studies,,"The impact of environmental problems seems unlikely to diminish so that the relevance of environmental security for policy will likely increase, particularly multilateral action on common security concerns to achieve forms of social organization that are ecologically sustainable. In some sense, current practices of national security are an impediment to achieving environmental security for all people.","National security practices are the most effective means to achieving environmental security reforms to consolidate the socio-economic organizational base of the country against threat. The state on a practical level remains the most capable body - having the monopolization over the instruments of violence, and centralization of resources - to enter into trans-national agreements for the management of environmental constraints.",173
